"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,910544054,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,1180319885,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,1843927128,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,1962031147,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,2183927454,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,2166005825,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,2098683691,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,2086506573,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,2380357633,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,2230396812,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,17764872,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,13598144,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,24571520,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,22258826,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,10203334,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,25117287,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,16226716,,
"AUS","Australia","EXP","Exports","NOR","Norway","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,22587916,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,117763426,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,85310902,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,33867716,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,102718775,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,278413883,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,358679721,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,193740847,,
"AUS","Australia","EXP","Exports","POL","Poland","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,199535249,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,14067683,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,4839130,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,4533896,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,3997717,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,4577637,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,5608212,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,6242092,,
"AUS","Australia","EXP","Exports","PRT","Portugal","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,5401239,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,483977,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,610165,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,11719551,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,969026,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,669619,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,768164,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,742772,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,835692,,
"AUS","Australia","EXP","Exports","ESP","Spain","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,105309429,,
"AUS","Australia","EXP","Exports","ESP","Spain","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,79410779,,
"AUS","Australia","EXP","Exports","ESP","Spain","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,181633042,,
"AUS","Australia","EXP","Exports","ESP","Spain","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,90728852,,
